POS ITEM ID,POS ITEM,POS Group,POS Subgroup,My Group,QTY,COST,PRICE,PROFIT,TOTAL COST,TOTAL SALES,TOTAL PROFIT,Group Rating,AvgQuantityBySubGroup,AvgMarginBySubGroup,Subgroup Rating,AvgQuantityByMyGroup,AvgMarginByMyGroup,My Group Rating
130,Sausage Croissant Sandwich (Foodager),Food,Sandwiches,Breakfast,2135,2.05,10.82,8.77,4376.75,23091.82,18715.07,Star,625.75,8.391928852601646,Star,812.65,3.9770000000000003,Star
155,Slice of Pie (Foodager),Food,Desserts,Dessert,1567,0.0,-0.44,-0.44,0.0,-695.78,-695.78,Plowhorse,543.44,1.4680000000000002,Plowhorse,578.9565217391304,2.533478260869565,Plowhorse
157,Whole Pie (Foodager),Food,Desserts,Dessert,1,0.0,-12.5,-12.5,0.0,-12.5,-12.5,Dog,543.44,1.4680000000000002,Dog,578.9565217391304,2.533478260869565,Dog
199,Breadsticks & Sauce (Foodager),Food,Sides,Snack,44,0.52,3.74,3.22,22.88,164.4,141.52,Dog,103.56756756756756,3.0075675675675675,Puzzle,254.53846153846155,4.169615384615384,Dog
259,Cheetos Flamin Hot Limon (Foodager),Food,Sides,Chips,43,0.67,3.93,3.26,28.81,169.2,140.39,Dog,103.56756756756756,3.0075675675675675,Puzzle,65.3076923076923,3.040769230769231,Puzzle
260,Baked Lay's (Foodager),Food,Sides,Chips,7,0.67,4.18,3.51,4.69,29.25,24.56,Dog,103.56756756756756,3.0075675675675675,Puzzle,65.3076923076923,3.040769230769231,Puzzle
264,Big Honey Bun (Foodager),Food,Desserts,Dessert,16,1.17,3.25,2.08,18.72,52.0,33.28,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Dog
265,Dbl Decker Oatmeal Cream Pie (Foodager),Food,Desserts,Dessert,1,1.17,4.0,2.83,1.17,4.0,2.83,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
266,Cosmic Brownie w/ Chocolate Chip Candy (Foodager),Food,Desserts,Dessert,2,1.17,3.5,2.33,2.34,7.0,4.66,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Dog
275,Drunk'n Grandma (Foodager),Food,Entrees,Pizza Whole,56,12.42,29.09,16.67,695.52,1628.8,933.28,Puzzle,910.75,7.254765106421356,Puzzle,516.7777777777778,13.845575597242265,Puzzle
337,Boulder Classic Sea Salt SS Chips (Foodager),Food,Sides,Chips,37,0.82,4.14,3.32,30.34,153.22,122.88,Dog,103.56756756756756,3.0075675675675675,Puzzle,65.3076923076923,3.040769230769231,Puzzle
338,Boulder Hickory BBQ (Foodager),Food,Sides,Chips,9,3.05,4.38,1.33,27.45,39.38,11.93,Dog,103.56756756756756,3.0075675675675675,Dog,65.3076923076923,3.040769230769231,Dog
342,Smartfood Popcorn (Foodager),Food,Sides,Chips,12,1.05,3.83,2.78,12.6,46.0,33.4,Dog,103.56756756756756,3.0075675675675675,Dog,65.3076923076923,3.040769230769231,Dog
346,Vail Employee Meal (Foodager),Food,Entrees,Pizza Slice,188,3.25,8.14,8.14,0.0,1529.42,1529.42,Puzzle,910.75,7.254765106421356,Puzzle,1561.75,5.695912878787879,Puzzle
410,Banana - 1ea (Foodager),Food,Sides,Snack,138,0.0,0.99,0.99,0.0,137.0,137.0,Dog,103.56756756756756,3.0075675675675675,Plowhorse,254.53846153846155,4.169615384615384,Dog
411,Apple - 1ea (Foodager),Food,Sides,Snack,113,0.0,1.0,1.0,0.0,112.5,112.5,Dog,103.56756756756756,3.0075675675675675,Plowhorse,254.53846153846155,4.169615384615384,Dog
412,Orange - 1ea (Foodager),Food,Sides,Snack,53,0.0,0.99,0.99,0.0,52.5,52.5,Dog,103.56756756756756,3.0075675675675675,Dog,254.53846153846155,4.169615384615384,Dog
414,Boulder Malt Vinegar SS Chips (Foodager),Food,Sides,Chips,4,0.82,3.38,2.56,3.28,13.5,10.22,Dog,103.56756756756756,3.0075675675675675,Dog,65.3076923076923,3.040769230769231,Dog
417,Little Debbie APplie Pie (Foodager),Food,Desserts,Dessert,2,1.18,3.0,1.82,2.36,6.0,3.64,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Dog
419,Little Debbie Mini Muffins Blueberry (Foodager),Food,Desserts,Breakfast,3,1.4,3.5,2.1,4.2,10.5,6.3,Dog,543.44,1.4680000000000002,Puzzle,812.65,3.9770000000000003,Dog
420,Little Debbie Mini Muffins Chocolate (Foodager),Food,Desserts,Breakfast,2,1.4,3.5,2.1,2.8,7.0,4.2,Dog,543.44,1.4680000000000002,Puzzle,812.65,3.9770000000000003,Dog
421,Little Debbie Mini Donuts Powdered (Foodager),Food,Desserts,Breakfast,11,1.17,3.0,1.83,12.87,33.0,20.130000000000003,Dog,543.44,1.4680000000000002,Puzzle,812.65,3.9770000000000003,Dog
423,Little Debbie Mini Donuts Chocolate (Foodager),Food,Desserts,Breakfast,1,1.17,3.0,1.83,1.17,3.0,1.83,Dog,543.44,1.4680000000000002,Puzzle,812.65,3.9770000000000003,Dog
1666,Quinoa Salad (Foodager),Food,Soup/Salads,Salad,24,0.0,5.5,5.5,0.0,132.0,132.0,Puzzle,404.0,5.55,Dog,360.375,5.06875,Puzzle
1684,Side Fresh Fruit (Foodager),Food,Soup/Salads,Salad,1,0.74,5.0,4.26,0.74,5.0,4.26,Dog,404.0,5.55,Dog,360.375,5.06875,Dog
1704,Soup O' The Day - Skywalk (Foodager),Food,Soup/Salads,Snack,669,0.0,9.52,9.52,0.0,6366.51,6366.51,Star,404.0,5.55,Star,254.53846153846155,4.169615384615384,Star
1712,Soup & Sandwich Combo (Foodager),Food,Sandwiches,Sandwiches,614,0.0,15.79,15.79,0.0,9697.65,9697.65,Star,625.75,8.391928852601646,Puzzle,470.0,8.37125202202093,Star
3004,Turkey Bacon Avo (Foodager),Food,Sandwiches,Sandwiches,2864,5.24,12.134705882352941,6.894705882352941,15007.36,35554.51,20547.149999999998,Star,625.75,8.391928852601646,Plowhorse,470.0,8.37125202202093,Plowhorse
3007,Big Ol Burrito (Foodager),Food,Entrees,Breakfast,566,4.07,10.68,6.61,2303.62,6046.92,3743.3,Star,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Puzzle
3012,Italian Baguette (Foodager),Food,Sandwiches,Sandwiches,64,4.32,13.85,9.53,276.48,886.2,609.72,Puzzle,625.75,8.391928852601646,Puzzle,470.0,8.37125202202093,Puzzle
3014,Gourmet Grilled Cheese,Food,Sandwiches,Sandwiches,1035,3.63,13.241,9.611,3757.05,13371.75,9614.7,Star,625.75,8.391928852601646,Star,470.0,8.37125202202093,Star
3015,La Caprese,Food,Sandwiches,Sandwiches,798,2.57,12.718181818181819,10.148181818181818,2050.86,10409.3,8358.44,Star,625.75,8.391928852601646,Star,470.0,8.37125202202093,Star
3016,The Spaniard,Food,Sandwiches,Sandwiches,126,4.09,12.4225,8.3325,515.34,1459.2,943.86,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3017,Brie-LT,Food,Sandwiches,Sandwiches,552,3.8299999999999996,12.227,8.397,2114.16,6730.45,4616.29,Star,625.75,8.391928852601646,Puzzle,470.0,8.37125202202093,Star
3018,Lil Italiano,Food,Sandwiches,Sandwiches,1544,5.83,13.053333333333335,7.223333333333334,9001.52,20848.8,11847.28,Star,625.75,8.391928852601646,Plowhorse,470.0,8.37125202202093,Plowhorse
3019,Almost Greek,Food,Sandwiches,Sandwiches,730,2.81,14.020000000000001,11.21,2051.3,10107.199999999999,8055.9,Star,625.75,8.391928852601646,Star,470.0,8.37125202202093,Star
3023,Spicy Spaniard,Food,Sandwiches,Sandwiches,488,4.09,10.571,6.481,1995.92,4774.71,2778.79,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Plowhorse
3024,The Bourdain (Foodager),Food,Sandwiches,Sandwiches,166,3.21,11.078571428571427,7.868571428571428,532.86,1832.9,1300.04,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3027,Turkey Club Wrap (Foodager),Food,Sandwiches,Sandwiches,31,4.94,11.71,6.77,153.14,363.0,209.86,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3028,Italian Sub with Sauce (Foodager),Food,Sandwiches,Sandwiches,61,4.32,11.49,7.17,263.52,700.8,437.28,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3029,Chicken Caesar Wrap (Foodager),Food,Sandwiches,Sandwiches,208,4.94,12.0,7.06,1027.52,2495.4,1467.88,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3031,Italian Style Wrap (Foodager),Food,Sandwiches,Sandwiches,140,4.94,11.97,7.03,691.6,1676.1,984.5,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3032,Buffalo Style Wrap - Sywalk (Foodager),Food,Sandwiches,Sandwiches,187,5.19,11.23,6.04,970.53,2100.2,1129.67,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3033,Ranch Chicken Salad Sandwich (Foodager),Food,Sandwiches,Sandwiches,73,3.47,8.64,5.17,253.31,630.55,377.24,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3035,Dill Egg Salad Sandwich (Foodager),Food,Sandwiches,Sandwiches,29,3.62,10.0,6.38,104.98,290.0,185.02,Puzzle,625.75,8.391928852601646,Dog,470.0,8.37125202202093,Dog
3036,The Bourdain (Foodager),Food,Sandwiches,Sandwiches,94,3.21,12.6,9.39,301.74,1184.0,882.26,Puzzle,625.75,8.391928852601646,Puzzle,470.0,8.37125202202093,Puzzle
3037,Pear & Gouda Grilled Cheese (Foodager),Food,Sandwiches,Sandwiches,28,2.97,13.39,10.42,83.16,375.0,291.84,Puzzle,625.75,8.391928852601646,Puzzle,470.0,8.37125202202093,Puzzle
3038,All American Grilled Cheese (Foodager),Food,Sandwiches,Sandwiches,38,3.95,12.83,8.88,150.1,487.5,337.4,Puzzle,625.75,8.391928852601646,Puzzle,470.0,8.37125202202093,Puzzle
4021,Fresh Fruits (Foodager),Food,Sides,Snack,339,0.74,2.13,1.39,250.86,722.74,471.88,Dog,103.56756756756756,3.0075675675675675,Plowhorse,254.53846153846155,4.169615384615384,Plowhorse
4027,Plain M & Ms (Foodager),Food,Sides,Candy,1,1.6,3.5,1.9,1.6,3.5,1.9,Dog,103.56756756756756,3.0075675675675675,Dog,107.9090909090909,0.7154545454545455,Puzzle
4032,Power Pack Box (Foodager),Food,Entrees,Snack,539,1.59,9.445,7.855,857.01,5138.5199999999995,4281.51,Star,910.75,7.254765106421356,Puzzle,254.53846153846155,4.169615384615384,Star
4033,Manifesto - Sustainable Brownie (Foodager),Food,Sides,Dessert,162,1.6,3.98,2.38,259.2,644.78,385.58,Dog,103.56756756756756,3.0075675675675675,Plowhorse,578.9565217391304,2.533478260869565,Dog
4035,Cheetos Cruncy (Foodager),Food,Sides,Chips,5,0.6,4.0,3.4,3.0,20.0,17.0,Dog,103.56756756756756,3.0075675675675675,Puzzle,65.3076923076923,3.040769230769231,Puzzle
4041,M&M Minis Tube (Foodager),Food,Sides,Candy,237,2.13,4.48,2.35,504.81,1060.85,556.04,Dog,103.56756756756756,3.0075675675675675,Plowhorse,107.9090909090909,0.7154545454545455,Star
4042,Pepperjack Protein Box (Foodager),Food,Entrees,Snack,372,1.59,9.64,8.05,591.48,3584.39,2992.91,Puzzle,910.75,7.254765106421356,Puzzle,254.53846153846155,4.169615384615384,Star
4044,Rice Krispies Choco Chip (Foodager),Food,Sides,Dessert,40,0.0,4.0,4.0,0.0,160.0,160.0,Dog,103.56756756756756,3.0075675675675675,Puzzle,578.9565217391304,2.533478260869565,Puzzle
4045,Niman Ranch Snack Pack (Foodager),Food,Sides,Snack,1,0.0,8.95,8.95,0.0,8.95,8.95,Puzzle,103.56756756756756,3.0075675675675675,Puzzle,254.53846153846155,4.169615384615384,Puzzle
4049,Cookie Salted Caramel (Foodager),Food,Sides,Dessert,93,1.26,3.96,2.7,117.18,368.0,250.82,Dog,103.56756756756756,3.0075675675675675,Dog,578.9565217391304,2.533478260869565,Puzzle
4051,Miss Vickies Kettle Cooked Potato Chips SS 1.38 oz (Foodager),Food,Sides,Chips,649,0.65,4.22,3.57,421.85,2736.59,2314.74,Plowhorse,103.56756756756756,3.0075675675675675,Star,65.3076923076923,3.040769230769231,Star
4052,Sabra Smart Snackers Classic Hummus & Pretzels (Foodager),Food,Sides,Snack,335,2.53,5.12,2.59,847.55,1716.56,869.01,Dog,103.56756756756756,3.0075675675675675,Plowhorse,254.53846153846155,4.169615384615384,Plowhorse
4055,Sabra Avocado Toast (Foodager),Food,Sides,Snack,221,2.8,6.27,3.47,618.8,1385.14,766.34,Dog,103.56756756756756,3.0075675675675675,Star,254.53846153846155,4.169615384615384,Dog
4085,Rold Gold Tiny Twists (Foodager),Food,Sides,Chips,35,1.52,4.0,2.48,53.2,140.0,86.8,Dog,103.56756756756756,3.0075675675675675,Dog,65.3076923076923,3.040769230769231,Dog
4086,Fritos (Foodager),Food,Sides,Chips,7,0.55,4.5,3.95,3.85,31.5,27.65,Dog,103.56756756756756,3.0075675675675675,Puzzle,65.3076923076923,3.040769230769231,Puzzle
4089,Doritos Cool Ranch (Foodager),Food,Sides,Chips,1,0.57,4.0,3.43,0.57,4.0,3.43,Dog,103.56756756756756,3.0075675675675675,Puzzle,65.3076923076923,3.040769230769231,Puzzle
4090,Doritos Nacho Cheese (Foodager),Food,Sides,Chips,7,0.6,4.0,3.4,4.2,28.0,23.8,Dog,103.56756756756756,3.0075675675675675,Puzzle,65.3076923076923,3.040769230769231,Puzzle
4099,Pasta Salad (Foodager),Food,Soup/Salads,Salad,430,2.28,5.73,3.45,980.4,2462.4,1482.0,Dog,404.0,5.55,Plowhorse,360.375,5.06875,Plowhorse
4100,Ancient Grain Salad (Foodager),Food,Sides,Salad,320,0.0,5.67,5.67,0.0,1815.6,1815.6,Puzzle,103.56756756756756,3.0075675675675675,Star,360.375,5.06875,Puzzle
4101,Potato Salad (Foodager),Food,Soup/Salads,Salad,348,1.99,5.6,3.61,692.52,1948.97,1256.45,Dog,404.0,5.55,Dog,360.375,5.06875,Dog
4103,Chef Salad (Foodager),Food,Soup/Salads,Salad,501,2.94,9.64,6.7,1472.94,4829.75,3356.81,Puzzle,404.0,5.55,Star,360.375,5.06875,Star
4105,Hersheys Milk Chocolate - 4.4oz (Foodager),Food,Sides,Candy,130,2.45,5.7,3.25,318.5,741.18,422.68,Dog,103.56756756756756,3.0075675675675675,Star,107.9090909090909,0.7154545454545455,Star
4106,Hersheys Kisses Sharable (Foodager),Food,Sides,Candy,27,6.41,14.94,8.53,173.07,403.5,230.43,Puzzle,103.56756756756756,3.0075675675675675,Puzzle,107.9090909090909,0.7154545454545455,Puzzle
4113,Goldfish Single-Serving (Foodager),Food,Sides,Chips,33,1.46,4.0,2.54,48.18,132.0,83.82,Dog,103.56756756756756,3.0075675675675675,Dog,65.3076923076923,3.040769230769231,Dog
5049,Slice of NYC Cheese,Food,Entrees,Pizza Slice,2338,2.6,6.354,3.754,6078.8,16602.41,10523.61,Plowhorse,910.75,7.254765106421356,Plowhorse,1561.75,5.695912878787879,Plowhorse
5050,NYC Cheese Pizza,Food,Entrees,Pizza Whole,811,13.25,23.584444444444443,10.334444444444445,10745.75,18953.34,8207.59,Star,910.75,7.254765106421356,Puzzle,516.7777777777778,13.845575597242265,Plowhorse
5051,Slice of Pepperoni Pizza,Food,Entrees,Pizza Slice,3904,1.05,7.4736363636363645,6.423636363636363,4099.2,30899.719999999998,26800.52,Star,910.75,7.254765106421356,Plowhorse,1561.75,5.695912878787879,Star
5057,Build Your Own Pizza,Food,Entrees,Pizza Whole,641,18.16,28.584545454545456,10.424545454545454,11640.56,17968.3,6327.74,Star,910.75,7.254765106421356,Puzzle,516.7777777777778,13.845575597242265,Plowhorse
5058,Margherita Pizza,Food,Entrees,Pizza Whole,452,4.4,22.865000000000002,18.465,1988.8,10372.35,8383.550000000001,Puzzle,910.75,7.254765106421356,Puzzle,516.7777777777778,13.845575597242265,Puzzle
5059,White Pizza,Food,Entrees,Pizza Whole,140,13.33,21.73,8.4,1866.2,3189.52,1323.32,Puzzle,910.75,7.254765106421356,Puzzle,516.7777777777778,13.845575597242265,Dog
5093,Pepperoni Pizza,Food,Entrees,Pizza Whole,1348,4.14,22.75583333333333,18.615833333333335,5580.72,34230.07,28649.35,Star,910.75,7.254765106421356,Star,516.7777777777778,13.845575597242265,Star
5094,Meat Lover,Food,Entrees,Pizza Whole,802,15.449999999999998,24.840833333333336,9.390833333333333,12390.9,20771.55,8380.65,Star,910.75,7.254765106421356,Puzzle,516.7777777777778,13.845575597242265,Plowhorse
5095,Slice of Meat Lovers,Food,Entrees,Pizza Slice,2220,2.98,8.459,5.479,6615.6,18383.5,11767.9,Star,910.75,7.254765106421356,Plowhorse,1561.75,5.695912878787879,Plowhorse
5096,Garden of Eatin,Food,Entrees,Pizza Whole,216,11.44,23.846666666666668,12.406666666666666,2767.05,5443.4,2676.35,Puzzle,910.75,7.254765106421356,Puzzle,516.7777777777778,13.845575597242265,Dog
5097,Slice of Garden of Eatin',Food,Entrees,Pizza Slice,835,2.54,8.925833333333333,6.385833333333333,2120.9,7284.51,5163.61,Star,910.75,7.254765106421356,Dog,1561.75,5.695912878787879,Puzzle
5098,Slice of White Pie,Food,Entrees,Pizza Slice,783,2.62,7.941,5.321,2051.46,6431.86,4380.4,Star,910.75,7.254765106421356,Dog,1561.75,5.695912878787879,Dog
5099,Slice of Margherita,Food,Entrees,Pizza Slice,1494,1.1,6.9879999999999995,5.888,1643.3999999999999,10558.81,8915.41,Star,910.75,7.254765106421356,Plowhorse,1561.75,5.695912878787879,Puzzle
5101,Slice of Sacrilege,Food,Entrees,Pizza Slice,732,2.94,7.115833333333334,4.175833333333333,2152.08,4969.37,2817.29,Plowhorse,910.75,7.254765106421356,Dog,1561.75,5.695912878787879,Dog
5102,The Sacrilege,Food,Entrees,Pizza Whole,185,2.59,22.49285714285714,19.90285714285714,479.15,4304.8,3825.65,Puzzle,910.75,7.254765106421356,Puzzle,516.7777777777778,13.845575597242265,Puzzle
9078,1 Scoop IceCream (Foodager),Food,Desserts,Dessert,4605,0.57,4.94,4.37,2624.85,22766.98,20142.13,Plowhorse,543.44,1.4680000000000002,Star,578.9565217391304,2.533478260869565,Star
9079,2 Scoop IceCream (Foodager),Food,Desserts,Dessert,1563,1.06,6.67,5.609999999999999,1656.78,10425.21,8768.429999999998,Star,543.44,1.4680000000000002,Star,578.9565217391304,2.533478260869565,Star
9083,3 Scoop IceCream (Foodager),Food,Desserts,Dessert,160,1.54,7.9,6.36,246.4,1264.0,1017.6,Puzzle,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
9084,HH Scoop (Foodager),Food,Desserts,Dessert,3826,0.94,3.14,2.2,3596.4399999999996,12013.640000000001,8417.2,Plowhorse,543.44,1.4680000000000002,Star,578.9565217391304,2.533478260869565,Plowhorse
9086,Small Candy (Foodager),Food,Desserts,Candy,526,14.58,6.74,-7.84,7669.08,3544.83,-4124.25,Plowhorse,543.44,1.4680000000000002,Dog,107.9090909090909,0.7154545454545455,Plowhorse
9088,Large Candy (Foodager),Food,Desserts,Candy,70,21.88,11.34,-10.54,1531.6,793.74,-737.86,Dog,543.44,1.4680000000000002,Dog,107.9090909090909,0.7154545454545455,Dog
33027,Hershey's Candy Bars (Foodager),Food,Sides,Candy,153,1.3166666666666667,3.4166666666666665,2.1,204.58,524.99,320.41,Dog,103.56756756756756,3.0075675675675675,Plowhorse,107.9090909090909,0.7154545454545455,Star
33062,Iced Lemon Loaf Cake (Foodager),Food,Entrees,Breakfast,17,1.43,4.0,2.57,24.31,68.0,43.69,Dog,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Dog
33077,Choco Banana Swirled (Foodager),Food,Entrees,Breakfast,6,1.23,3.83,2.6,7.38,23.0,15.62,Dog,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Dog
33166,Waffle Cone (Foodager),Food,Desserts,Dessert,869,0.49,2.88,2.39,425.81,2503.85,2078.04,Plowhorse,543.44,1.4680000000000002,Star,578.9565217391304,2.533478260869565,Plowhorse
33218,Coffee Cinnamon Cake (Foodager),Food,Entrees,Breakfast,6,1.59,3.5,1.91,9.54,21.0,11.46,Dog,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Dog
33302,Iced Pumpkin Swirl Loaf (Foodager),Food,Entrees,Breakfast,8,1.16,4.0,2.84,9.28,32.0,22.72,Dog,910.75,7.254765106421356,Dog,812.65,3.9770000000000003,Dog
33458,Moon Pies (Foodager),Food,Desserts,Dessert,85,0.6,1.94,1.34,51.0,164.5,113.5,Dog,543.44,1.4680000000000002,Dog,578.9565217391304,2.533478260869565,Dog
33522,Sweet Street Chewy Marshmallow (Foodager),Food,Sides,Dessert,48,1.03,3.0,1.97,49.44,144.0,94.56,Dog,103.56756756756756,3.0075675675675675,Dog,578.9565217391304,2.533478260869565,Dog
33525,Reeses Peanut Butter Cups Candy Bar (Foodager),Food,Sides,Candy,2,0.99,3.5,2.51,1.98,7.0,5.02,Dog,103.56756756756756,3.0075675675675675,Dog,107.9090909090909,0.7154545454545455,Puzzle
33527,M&M Peanuts Candy Bar (Foodager),Food,Sides,Candy,18,0.99,3.31,2.32,17.82,59.5,41.68,Dog,103.56756756756756,3.0075675675675675,Dog,107.9090909090909,0.7154545454545455,Puzzle
33533,Snickers Candy Bar (Foodager),Food,Sides,Candy,7,1.5,3.5,2.0,10.5,24.5,14.0,Dog,103.56756756756756,3.0075675675675675,Dog,107.9090909090909,0.7154545454545455,Puzzle
33549,Gnarly Mtn Cookie -- White Choc Pistachio (Foodager),Food,Desserts,Dessert,11,2.35,7.0,4.65,25.85,77.0,51.15,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
33550,Gnarly Mtn Cookie -- Oatmeal Maple Raisin (Foodager),Food,Desserts,Dessert,48,2.35,6.71,4.36,112.8,322.0,209.2,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
33551,Gnarly Mtn Cookie -- Triple Choc Chunk (Foodager),Food,Desserts,Dessert,89,2.35,6.5,4.15,209.15,578.2,369.05,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
33552,Gnarly Mtn Cookie -- Root Beer Float (Foodager),Food,Desserts,Dessert,27,2.35,5.83,3.48,63.45,157.5,94.05,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
33562,Gnarly Mtn Cookie -- Mint Hot Chocolate Chip (Foodager),Food,Desserts,Dessert,58,2.35,6.61,4.26,136.3,383.6,247.3,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
33563,Gnarly Mtn Cookie -- Horchata Snickerdoodle (Foodager),Food,Desserts,Dessert,35,2.35,6.5,4.15,82.25,227.5,145.25,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
33564,Gnarly Mtn Cookie -- Limoncello (Foodager),Food,Desserts,Dessert,8,2.35,6.13,3.78,18.8,49.0,30.2,Dog,543.44,1.4680000000000002,Puzzle,578.9565217391304,2.533478260869565,Puzzle
33574,Dove Peanut Butter Cups Candy Bar (Foodager),Food,Sides,Candy,16,1.99,3.28,1.29,31.84,52.5,20.66,Dog,103.56756756756756,3.0075675675675675,Dog,107.9090909090909,0.7154545454545455,Puzzle
45,Truffle Marconas Mitica (Foodager),Grocery,Grocery,Charcuterie,64,6.0,11.54,5.54,384.0,738.38,354.38,Puzzle,76.44572748267899,4.284792147806005,Puzzle,38.4264705882353,5.584044117647059,Plowhorse
88,Mush Rolled Oats (Foodager),Grocery,Grocery,Breakfast,42,1.87,4.92,3.05,78.54,206.66,128.12,Dog,76.44572748267899,4.284792147806005,Dog,136.61111111111111,3.879722222222222,Dog
89,Quaker Instant Oatmeal (Foodager),Grocery,Grocery,Breakfast,254,1.45,4.59,3.14,368.3,1166.03,797.73,Plowhorse,76.44572748267899,4.284792147806005,Plowhorse,136.61111111111111,3.879722222222222,Plowhorse
91,Kraft Italian Dressing (Foodager),Grocery,Grocery,Condiment,11,2.89,6.35,3.46,31.79,69.87,38.08,Dog,76.44572748267899,4.284792147806005,Dog,23.795454545454547,3.256136363636364,Puzzle
